event_id,input_id,keep_default,kv_len,layer_id,past_len,phase,priority,q_len,reason,repeat_group,repeat_members,selection_result,token_state,visipruner_role
input1_layer0,1,True,624,0,0,prefill,P2,624,representative shallow-mask/control-boundary layer,prefill|full_visual|shallow_or_boundary||624|624,"input1_layer0,input1_layer5,input1_layer6",,full_visual,shallow_or_boundary
input1_layer5,1,True,624,5,0,prefill,P2,624,representative shallow-mask/control-boundary layer,prefill|full_visual|shallow_or_boundary||624|624,"input1_layer0,input1_layer5,input1_layer6",,full_visual,shallow_or_boundary
input1_layer6,1,True,624,6,0,prefill,P2,624,representative shallow-mask/control-boundary layer,prefill|full_visual|shallow_or_boundary||624|624,"input1_layer0,input1_layer5,input1_layer6",,full_visual,shallow_or_boundary
input1_layer7,1,True,624,7,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer8,1,True,624,8,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer9,1,True,624,9,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer10,1,True,624,10,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer11,1,True,624,11,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer12,1,True,624,12,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer13,1,True,624,13,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer14,1,True,624,14,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer15,1,True,624,15,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer16,1,True,624,16,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer17,1,True,624,17,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer18,1,True,624,18,0,prefill,P0,624,value_aware_token_selection selected 10 visual tokens;token schedule boundary 624/624 -> 58/58,prefill|full_visual|middle_select;boundary_before_prune|tensor|624|624,input1_layer18,tensor,full_visual,middle_select;boundary_before_prune
input1_layer19,1,True,58,19,0,prefill,P0,58,deep exit check returned False;token schedule boundary 624/624 -> 58/58,prefill|middle_pruned|deep_check;boundary_after_prune|false|58|58,input1_layer19,false,middle_pruned,deep_check;boundary_after_prune
input1_layer20,1,True,58,20,0,prefill,P0,58,deep exit check returned False,prefill|middle_pruned|deep_check|false|58|58,"input1_layer20,input1_layer21,input1_layer22,input1_layer23,input1_layer24,input1_layer26",false,middle_pruned,deep_check
input1_layer21,1,True,58,21,0,prefill,P0,58,deep exit check returned False,prefill|middle_pruned|deep_check|false|58|58,"input1_layer20,input1_layer21,input1_layer22,input1_layer23,input1_layer24,input1_layer26",false,middle_pruned,deep_check
input1_layer22,1,True,58,22,0,prefill,P0,58,deep exit check returned False,prefill|middle_pruned|deep_check|false|58|58,"input1_layer20,input1_layer21,input1_layer22,input1_layer23,input1_layer24,input1_layer26",false,middle_pruned,deep_check
input1_layer23,1,True,58,23,0,prefill,P0,58,deep exit check returned False,prefill|middle_pruned|deep_check|false|58|58,"input1_layer20,input1_layer21,input1_layer22,input1_layer23,input1_layer24,input1_layer26",false,middle_pruned,deep_check
input1_layer24,1,True,58,24,0,prefill,P0,58,deep exit check returned False,prefill|middle_pruned|deep_check|false|58|58,"input1_layer20,input1_layer21,input1_layer22,input1_layer23,input1_layer24,input1_layer26",false,middle_pruned,deep_check
input1_layer25,1,True,58,25,0,prefill,P0,58,deep exit check returned True,prefill|middle_pruned|deep_check|true|58|58,input1_layer25,true,middle_pruned,deep_check
input1_layer26,1,True,58,26,0,prefill,P0,58,deep exit check returned False,prefill|middle_pruned|deep_check|false|58|58,"input1_layer20,input1_layer21,input1_layer22,input1_layer23,input1_layer24,input1_layer26",false,middle_pruned,deep_check
input1_layer27,1,True,58,27,0,prefill,P0,58,deep exit check returned True;token schedule boundary 58/58 -> 48/48,prefill|middle_pruned|deep_check;boundary_before_prune|true|58|58,input1_layer27,true,middle_pruned,deep_check;boundary_before_prune
input1_layer28,1,True,48,28,0,prefill,P1,48,token schedule boundary 58/58 -> 48/48,prefill|deep_removed|boundary_after_prune||48|48,input1_layer28,,deep_removed,boundary_after_prune
input2_layer18,2,True,625,18,624,decode,P3,1,first/last decode representative for pruned KV-cache regime,decode|full_cache|decode_prune_effect||1|625,input2_layer18,,full_cache,decode_prune_effect
input2_layer19,2,True,59,19,58,decode,P3,1,first/last decode representative for pruned KV-cache regime,decode|middle_pruned_cache|decode_prune_effect||1|59,"input2_layer19,input2_layer27",,middle_pruned_cache,decode_prune_effect
input2_layer27,2,True,59,27,58,decode,P3,1,first/last decode representative for pruned KV-cache regime,decode|middle_pruned_cache|decode_prune_effect||1|59,"input2_layer19,input2_layer27",,middle_pruned_cache,decode_prune_effect
input2_layer28,2,True,49,28,48,decode,P3,1,first/last decode representative for pruned KV-cache regime,decode|deep_removed_cache|decode_prune_effect||1|49,"input2_layer28,input2_layer31",,deep_removed_cache,decode_prune_effect
input2_layer31,2,True,49,31,48,decode,P3,1,first/last decode representative for pruned KV-cache regime,decode|deep_removed_cache|decode_prune_effect||1|49,"input2_layer28,input2_layer31",,deep_removed_cache,decode_prune_effect
input32_layer18,32,True,655,18,654,decode,P3,1,first/last decode representative for pruned KV-cache regime,decode|full_cache|decode_prune_effect||1|655,input32_layer18,,full_cache,decode_prune_effect
input32_layer19,32,True,89,19,88,decode,P3,1,first/last decode representative for pruned KV-cache regime,decode|middle_pruned_cache|decode_prune_effect||1|89,"input32_layer19,input32_layer27",,middle_pruned_cache,decode_prune_effect
input32_layer27,32,True,89,27,88,decode,P3,1,first/last decode representative for pruned KV-cache regime,decode|middle_pruned_cache|decode_prune_effect||1|89,"input32_layer19,input32_layer27",,middle_pruned_cache,decode_prune_effect
input32_layer28,32,True,79,28,78,decode,P3,1,first/last decode representative for pruned KV-cache regime,decode|deep_removed_cache|decode_prune_effect||1|79,"input32_layer28,input32_layer31",,deep_removed_cache,decode_prune_effect
input32_layer31,32,True,79,31,78,decode,P3,1,first/last decode representative for pruned KV-cache regime,decode|deep_removed_cache|decode_prune_effect||1|79,"input32_layer28,input32_layer31",,deep_removed_cache,decode_prune_effect
