batch_size,dispatch_captured,forward_id,hidden_shape_in,hidden_shape_out,kv_len,layer_idx,layer_module_path,past_len,phase,position_shape,q_len
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,0,model.layers.31,0,prefill,"[1, 624]",624
1,False,1,"[1, 624, 4096]","[1, 624, 4096]",624,1,model.layers.31,0,prefill,"[1, 624]",624
1,False,1,"[1, 624, 4096]","[1, 624, 4096]",624,2,model.layers.31,0,prefill,"[1, 624]",624
1,False,1,"[1, 624, 4096]","[1, 624, 4096]",624,3,model.layers.31,0,prefill,"[1, 624]",624
1,False,1,"[1, 624, 4096]","[1, 624, 4096]",624,4,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,5,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,6,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,7,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,8,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,9,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,10,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,11,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,12,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,13,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,14,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,15,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,16,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,17,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 624, 4096]","[1, 624, 4096]",624,18,model.layers.31,0,prefill,"[1, 624]",624
1,True,1,"[1, 58, 4096]","[1, 58, 4096]",58,19,model.layers.31,0,prefill,"[1, 58]",58
1,True,1,"[1, 58, 4096]","[1, 58, 4096]",58,20,model.layers.31,0,prefill,"[1, 58]",58
1,True,1,"[1, 58, 4096]","[1, 58, 4096]",58,21,model.layers.31,0,prefill,"[1, 58]",58
1,True,1,"[1, 58, 4096]","[1, 58, 4096]",58,22,model.layers.31,0,prefill,"[1, 58]",58
1,True,1,"[1, 58, 4096]","[1, 58, 4096]",58,23,model.layers.31,0,prefill,"[1, 58]",58
1,True,1,"[1, 58, 4096]","[1, 58, 4096]",58,24,model.layers.31,0,prefill,"[1, 58]",58
1,True,1,"[1, 58, 4096]","[1, 58, 4096]",58,25,model.layers.31,0,prefill,"[1, 58]",58
1,True,1,"[1, 58, 4096]","[1, 58, 4096]",58,26,model.layers.31,0,prefill,"[1, 58]",58
1,True,1,"[1, 58, 4096]","[1, 58, 4096]",58,27,model.layers.31,0,prefill,"[1, 58]",58
1,True,1,"[1, 48, 4096]","[1, 48, 4096]",48,28,model.layers.31,0,prefill,"[1, 48]",48
1,False,1,"[1, 48, 4096]","[1, 48, 4096]",48,29,model.layers.31,0,prefill,"[1, 48]",48
1,False,1,"[1, 48, 4096]","[1, 48, 4096]",48,30,model.layers.31,0,prefill,"[1, 48]",48
1,False,1,"[1, 48, 4096]","[1, 48, 4096]",48,31,model.layers.31,0,prefill,"[1, 48]",48
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,0,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,1,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,2,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,3,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,4,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,5,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,6,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,7,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,8,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,9,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,10,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,11,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,12,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,13,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,14,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,15,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,16,model.layers.31,624,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",625,17,model.layers.31,624,decode,"[1, 1]",1
1,True,2,"[1, 1, 4096]","[1, 1, 4096]",625,18,model.layers.31,624,decode,"[1, 1]",1
1,True,2,"[1, 1, 4096]","[1, 1, 4096]",59,19,model.layers.31,58,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",59,20,model.layers.31,58,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",59,21,model.layers.31,58,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",59,22,model.layers.31,58,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",59,23,model.layers.31,58,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",59,24,model.layers.31,58,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",59,25,model.layers.31,58,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",59,26,model.layers.31,58,decode,"[1, 1]",1
1,True,2,"[1, 1, 4096]","[1, 1, 4096]",59,27,model.layers.31,58,decode,"[1, 1]",1
1,True,2,"[1, 1, 4096]","[1, 1, 4096]",49,28,model.layers.31,48,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",49,29,model.layers.31,48,decode,"[1, 1]",1
1,False,2,"[1, 1, 4096]","[1, 1, 4096]",49,30,model.layers.31,48,decode,"[1, 1]",1
1,True,2,"[1, 1, 4096]","[1, 1, 4096]",49,31,model.layers.31,48,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,0,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,1,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,2,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,3,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,4,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,5,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,6,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,7,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,8,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,9,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,10,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,11,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,12,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,13,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,14,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,15,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,16,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,17,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",626,18,model.layers.31,625,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",60,19,model.layers.31,59,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",60,20,model.layers.31,59,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",60,21,model.layers.31,59,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",60,22,model.layers.31,59,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",60,23,model.layers.31,59,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",60,24,model.layers.31,59,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",60,25,model.layers.31,59,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",60,26,model.layers.31,59,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",60,27,model.layers.31,59,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",50,28,model.layers.31,49,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",50,29,model.layers.31,49,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",50,30,model.layers.31,49,decode,"[1, 1]",1
1,False,3,"[1, 1, 4096]","[1, 1, 4096]",50,31,model.layers.31,49,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,0,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,1,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,2,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,3,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,4,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,5,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,6,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,7,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,8,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,9,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,10,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,11,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,12,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,13,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,14,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,15,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,16,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,17,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",627,18,model.layers.31,626,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",61,19,model.layers.31,60,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",61,20,model.layers.31,60,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",61,21,model.layers.31,60,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",61,22,model.layers.31,60,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",61,23,model.layers.31,60,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",61,24,model.layers.31,60,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",61,25,model.layers.31,60,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",61,26,model.layers.31,60,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",61,27,model.layers.31,60,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",51,28,model.layers.31,50,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",51,29,model.layers.31,50,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",51,30,model.layers.31,50,decode,"[1, 1]",1
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",51,31,model.layers.31,50,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,0,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,1,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,2,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,3,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,4,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,5,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,6,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,7,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,8,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,9,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,10,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,11,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,12,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,13,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,14,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,15,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,16,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,17,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,18,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,19,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,20,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,21,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,22,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,23,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,24,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,25,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,26,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,27,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",52,28,model.layers.31,51,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",52,29,model.layers.31,51,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",52,30,model.layers.31,51,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",52,31,model.layers.31,51,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,0,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,1,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,2,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,3,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,4,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,5,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,6,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,7,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,8,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,9,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,10,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,11,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,12,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,13,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,14,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,15,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,16,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,17,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,18,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,19,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,20,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,21,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,22,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,23,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,24,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,25,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,26,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,27,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",53,28,model.layers.31,52,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",53,29,model.layers.31,52,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",53,30,model.layers.31,52,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",53,31,model.layers.31,52,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,0,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,1,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,2,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,3,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,4,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,5,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,6,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,7,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,8,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,9,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,10,model.layers.31,629,decode,"[1, 1]",1
