event_id,status,split_alignment,process_alignment,phase,role,token_state,q_len,kv_len,hidden,heads,head_dim,ffn,expected_stages,generated_stages,missing_expected_stages,extra_generated_stages,notes
input1_layer0,match,aligned,aligned,prefill,shallow_or_boundary,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visual_adjust | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visual_adjust | attention_output | mlp | full_flow,,,
input1_layer10,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer11,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer12,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer13,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer14,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer15,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer16,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer17,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer18,match,aligned,aligned,prefill,middle_select;boundary_before_prune,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer19,match,aligned,aligned,prefill,deep_check;boundary_after_prune,middle_pruned,58,58,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer20,match,aligned,aligned,prefill,deep_check,middle_pruned,58,58,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer21,match,aligned,aligned,prefill,deep_check,middle_pruned,58,58,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer22,match,aligned,aligned,prefill,deep_check,middle_pruned,58,58,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer23,match,aligned,aligned,prefill,deep_check,middle_pruned,58,58,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer24,match,aligned,aligned,prefill,deep_check,middle_pruned,58,58,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer25,match,aligned,aligned,prefill,deep_check,middle_pruned,58,58,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer26,match,aligned,aligned,prefill,deep_check,middle_pruned,58,58,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer27,match,aligned,aligned,prefill,deep_check;boundary_before_prune,middle_pruned,58,58,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer28,match,aligned,aligned,prefill,boundary_after_prune,deep_removed,48,48,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | attention_output | mlp | full_flow,,,
input1_layer5,match,aligned,aligned,prefill,shallow_or_boundary,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visual_adjust | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visual_adjust | attention_output | mlp | full_flow,,,
input1_layer6,match,aligned,aligned,prefill,shallow_or_boundary,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | attention_output | mlp | full_flow,,,
input1_layer7,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer8,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input1_layer9,match,aligned,aligned,prefill,middle_probe,full_visual,624,624,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,,,
input2_layer18,match,aligned,aligned,decode,decode_prune_effect,full_cache,1,625,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,,,
input2_layer19,match,aligned,aligned,decode,decode_prune_effect,middle_pruned_cache,1,59,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,,,
input2_layer27,match,aligned,aligned,decode,decode_prune_effect,middle_pruned_cache,1,59,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,,,
input2_layer28,match,aligned,aligned,decode,decode_prune_effect,deep_removed_cache,1,49,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,,,
input2_layer31,match,aligned,aligned,decode,decode_prune_effect,deep_removed_cache,1,49,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,,,
input32_layer18,match,aligned,aligned,decode,decode_prune_effect,full_cache,1,655,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,,,
input32_layer19,match,aligned,aligned,decode,decode_prune_effect,middle_pruned_cache,1,89,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,,,
input32_layer27,match,aligned,aligned,decode,decode_prune_effect,middle_pruned_cache,1,89,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,,,
input32_layer28,match,aligned,aligned,decode,decode_prune_effect,deep_removed_cache,1,79,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,,,
input32_layer31,match,aligned,aligned,decode,decode_prune_effect,deep_removed_cache,1,79,4096,32,128,11008,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,,,
